price,room_type,neighbourhood_cleansed,property_type,accommodates,beds,number_of_reviews,reviews_per_month,last_review,availability_365
,Entire home/apt,Chelsea,Entire rental unit,4,,2,0.01,2015-08-28,0
,Entire home/apt,East Village,Entire rental unit,2,,63,0.4,2018-01-12,0
,Private room,Fort Greene,Private room in rental unit,2,,51,0.46,2024-10-05,1
,Private room,Hell's Kitchen,Private room in rental unit,2,,174,1.13,2024-10-19,75
,Private room,Chelsea,Private room in condo,2,,1,0.01,2014-04-20,0
,Entire home/apt,Crown Heights,Entire rental unit,2,,102,0.64,2020-01-01,0
,Entire home/apt,Prospect Heights,Entire rental unit,2,,35,0.22,2019-12-28,0
$130.00,Entire home/apt,Park Slope,Entire rental unit,2,2.0,313,2.04,2023-11-02,336
$146.00,Private room,Chelsea,Private room in townhouse,2,1.0,147,0.94,2024-10-20,37
$75.00,Private room,Washington Heights,Private room in rental unit,2,1.0,229,1.42,2020-01-11,365
$60.00,Private room,Flatbush,Private room in rental unit,1,1.0,90,0.6,2022-12-04,88
$105.00,Private room,Park Slope,Private room in rental unit,2,1.0,230,1.44,2023-10-07,0
$126.00,Entire home/apt,Crown Heights,Entire townhouse,1,1.0,133,0.84,2024-08-31,365
,Entire home/apt,Harlem,Entire rental unit,4,,0,,,0
$190.00,Entire home/apt,Park Slope,Entire rental unit,4,2.0,106,0.82,2019-07-02,357
,Private room,Bedford-Stuyvesant,Private room in rental unit,2,,70,0.44,2016-12-26,0
,Entire home/apt,Upper East Side,Entire rental unit,4,,8,0.05,2016-09-18,0
$398.00,Entire home/apt,Clinton Hill,Entire home,8,5.0,114,0.71,2024-09-18,365
$185.00,Entire home/apt,Bedford-Stuyvesant,Entire rental unit,2,1.0,158,0.99,2023-09-04,178
,Entire home/apt,Fort Greene,Entire rental unit,2,,4,0.05,2018-08-27,0
$72.00,Private room,Sheepshead Bay,Private room in houseboat,4,4.0,126,0.79,2019-07-26,87
,Entire home/apt,Williamsburg,Entire rental unit,2,,14,0.09,2015-08-31,0
$82.00,Entire home/apt,Bedford-Stuyvesant,Entire rental unit,4,2.0,66,0.41,2024-10-02,250
$55.00,Private room,Sunnyside,Private room in condo,2,2.0,310,2.01,2024-09-27,154
$98.00,Private room,West Village,Private room in rental unit,1,2.0,13,0.12,2024-08-10,187
,Entire home/apt,Gowanus,Entire rental unit,3,,9,0.06,2016-06-23,0
$215.00,Private room,Chinatown,Private room in rental unit,2,1.0,75,0.65,2024-10-24,303
,Entire home/apt,Emerson Hill,Entire guest suite,3,,1,0.01,2016-07-11,0
$183.00,Private room,Fort Greene,Private room in home,2,1.0,155,0.97,2024-07-13,286
$70.00,Private room,Harlem,Private room in rental unit,1,1.0,30,0.25,2024-07-13,314
$110.00,Entire home/apt,Bensonhurst,Entire rental unit,2,1.0,37,0.23,2024-10-16,216
$90.00,Private room,Harlem,Private room in townhouse,1,2.0,36,0.24,2019-10-23,89
,Private room,Bedford-Stuyvesant,Private room in rental unit,2,,59,0.37,2017-01-05,0
$139.00,Entire home/apt,Chelsea,Entire rental unit,2,1.0,38,0.24,2024-06-30,102
$150.00,Entire home/apt,Prospect Heights,Entire rental unit,2,1.0,19,0.12,2019-06-23,363
$180.00,Entire home/apt,Williamsburg,Entire rental unit,2,1.0,11,0.07,2019-09-01,203
$84.00,Entire home/apt,Shore Acres,Entire rental unit,3,1.0,99,0.62,2024-07-01,286
$180.00,Entire home/apt,Williamsburg,Entire rental unit,5,3.0,250,1.57,2024-09-30,182
$150.00,Entire home/apt,Upper West Side,Entire rental unit,2,2.0,109,0.68,2024-11-02,104
$160.00,Private room,Bedford-Stuyvesant,Private room in rental unit,2,1.0,92,0.58,2022-05-15,198
,Entire home/apt,Bedford-Stuyvesant,Entire home,2,,8,0.08,2021-07-29,0
$110.00,Entire home/apt,East Harlem,Entire rental unit,2,1.0,124,0.78,2024-09-28,35
,Private room,Jamaica,Private room in home,3,,31,0.19,2018-10-14,0
$129.00,Private room,Bedford-Stuyvesant,Private room in townhouse,2,1.0,534,3.36,2024-10-31,53
,Entire home/apt,Williamsburg,Entire rental unit,2,,4,0.03,2013-05-07,0
$87.00,Private room,Ridgewood,Private room in rental unit,2,2.0,24,0.17,2023-09-05,365
$300.00,Entire home/apt,South Slope,Entire loft,5,4.0,39,0.25,2023-08-14,111
$110.00,Private room,Chelsea,Private room in rental unit,3,1.0,85,0.54,2020-01-18,364
$185.00,Entire home/apt,Midtown,Entire condo,2,1.0,160,1.01,2024-09-01,80
$200.00,Entire home/apt,Lower East Side,Entire rental unit,2,2.0,118,0.74,2024-08-11,222
,Entire home/apt,Vinegar Hill,Entire rental unit,4,,40,0.28,2019-12-25,0
$40.00,Private room,Co-op City,Private room in condo,2,1.0,4,0.03,2023-11-30,153
$250.00,Entire home/apt,Ditmars Steinway,Entire guesthouse,1,1.0,57,0.36,2023-12-23,358
$35.00,Private room,Kingsbridge,Private room in rental unit,2,1.0,121,0.84,2024-07-01,149
$185.00,Private room,Bedford-Stuyvesant,Private room in townhouse,2,2.0,285,1.79,2024-10-27,331
,Entire home/apt,Gramercy,Entire rental unit,2,,5,0.03,2015-08-17,0
$449.00,Entire home/apt,Greenpoint,Entire rental unit,4,2.0,36,0.23,2024-07-13,160
$95.00,Private room,Bushwick,Private room in rental unit,2,1.0,41,0.28,2017-08-31,365
,Private room,Washington Heights,Private room in rental unit,1,,4,0.03,2015-07-03,0
$185.00,Entire home/apt,Williamsburg,Entire condo,2,1.0,25,0.16,2023-11-05,322
$100.00,Private room,Bedford-Stuyvesant,Private room in home,1,1.0,7,0.04,2018-10-07,365
,Entire home/apt,Chinatown,Entire rental unit,2,,48,0.32,2014-12-03,0
$125.00,Private room,Harlem,Private room in condo,2,3.0,11,0.07,2017-09-25,358
,Entire home/apt,Harlem,Entire rental unit,6,,0,,,365
$120.00,Entire home/apt,Long Island City,Entire home,4,1.0,1,0.01,2012-01-09,151
$110.00,Private room,Upper West Side,Private room in rental unit,1,1.0,209,1.32,2024-10-21,353
,Private room,Prospect Heights,Private room in rental unit,1,,5,0.04,2019-11-02,0
$268.00,Private room,Sunset Park,Private room in condo,2,1.0,16,0.1,2024-10-21,187
$449.00,Entire home/apt,Greenpoint,Entire rental unit,4,2.0,48,0.36,2022-09-10,160
$449.00,Entire home/apt,Greenpoint,Entire rental unit,4,2.0,31,0.22,2024-06-30,160
$449.00,Entire home/apt,Greenpoint,Entire rental unit,4,2.0,101,0.66,2024-10-16,151
$449.00,Entire home/apt,Greenpoint,Entire rental unit,4,2.0,46,0.29,2024-08-12,156
$449.00,Entire home/apt,Greenpoint,Entire rental unit,4,2.0,43,0.28,2024-04-07,160
$449.00,Entire home/apt,Greenpoint,Entire rental unit,4,2.0,49,0.31,2022-12-11,160
$449.00,Entire home/apt,Greenpoint,Entire rental unit,4,2.0,73,0.46,2024-09-02,160
,Private room,Greenpoint,Room in boutique hotel,4,,12,0.08,2022-12-11,0
,Private room,Greenpoint,Room in boutique hotel,4,,8,0.05,2022-12-31,0
,Private room,Greenpoint,Room in boutique hotel,4,,14,0.11,2024-04-14,0
$399.00,Hotel room,Greenpoint,Room in boutique hotel,2,1.0,33,0.22,2024-04-28,160
,Private room,Greenpoint,Room in boutique hotel,6,,5,0.03,2014-10-26,0
$87.00,Private room,Williamsburg,Private room in condo,1,2.0,49,0.48,2024-09-04,90
$228.00,Entire home/apt,Bedford-Stuyvesant,Entire guest suite,2,2.0,280,1.77,2024-10-22,312
$495.00,Entire home/apt,Nolita,Entire condo,4,2.0,26,0.17,2024-06-01,338
$193.00,Entire home/apt,Bedford-Stuyvesant,Entire rental unit,2,2.0,41,0.26,2024-08-30,240
,Entire home/apt,West Village,Entire rental unit,3,,55,0.35,2022-05-22,0
,Entire home/apt,Chelsea,Entire rental unit,3,,9,0.06,2014-10-26,0
,Private room,Harlem,Private room in rental unit,2,,143,1.24,2018-06-30,0
,Entire home/apt,Chinatown,Entire rental unit,3,,4,0.03,2013-06-20,0
$260.00,Entire home/apt,Tribeca,Entire loft,4,1.0,35,0.22,2023-09-19,364
,Private room,Chelsea,Private room in rental unit,2,,19,0.15,2017-04-01,0
,Entire home/apt,East Flatbush,Entire townhouse,2,,75,0.49,2022-12-28,0
,Private room,Lower East Side,Private room in rental unit,2,,11,0.13,2019-10-02,0
,Entire home/apt,Fort Greene,Entire rental unit,4,,129,0.83,2023-08-30,0
,Entire home/apt,Harlem,Entire rental unit,4,,0,,,83
$267.00,Entire home/apt,Upper West Side,Entire condo,2,1.0,244,1.56,2024-10-03,136
,Entire home/apt,Theater District,Entire rental unit,2,,8,0.05,2015-01-08,0
,Entire home/apt,Upper East Side,Entire rental unit,6,,11,0.07,2015-11-01,0
$135.00,Entire home/apt,Lower East Side,Entire rental unit,4,2.0,82,0.53,2024-08-10,272
$250.00,Entire home/apt,Lower East Side,Entire rental unit,4,2.0,90,0.6,2023-02-18,365
,Private room,Rego Park,Private room in rental unit,1,,25,0.23,2020-02-16,0
$65.00,Private room,Kensington,Private room in rental unit,1,1.0,59,0.53,2024-09-01,131
$175.00,Entire home/apt,Williamsburg,Entire condo,2,1.0,1,0.02,2020-12-19,308
,Entire home/apt,Williamsburg,Entire condo,4,,1,0.01,2013-09-24,0
$70.00,Private room,Crown Heights,Private room in rental unit,1,1.0,32,0.23,2022-01-17,134
,Private room,Astoria,Private room in rental unit,2,,19,0.12,2014-10-22,365
,Private room,Bushwick,Private room in rental unit,2,,39,0.28,2023-10-16,0
$95.00,Private room,Woodside,Private room in rental unit,2,2.0,285,1.82,2019-12-16,365
$212.00,Entire home/apt,East Village,Entire rental unit,4,1.0,36,0.23,2023-09-03,278
,Entire home/apt,Midtown,Entire rental unit,2,,19,0.12,2015-09-08,0
